Date,Visitors,Visits,Page Views,
1-Jan-08,"110,318","143,414","165,477",
1-Jan-08,"111,056","144,372","166,583",
1-Jan-08,"112,961","146,850","169,442",
1-Jan-08,"110,977","144,271","166,466",
1-Jan-08,"110,561","143,730","165,842",
1-Jan-08,"105,094","136,622","157,641",
1-Jan-08,"112,742","146,565","169,113",
1-Jan-08,"108,948","141,632","163,422",
1-Jan-08,"110,211","143,274","165,316",
1-Jan-08,"107,731","140,050","161,596",
2-Jan-08,"107,917","140,292","161,876",
2-Jan-08,"109,908","142,880","164,862",
2-Jan-08,"105,705","137,417","158,558",
2-Jan-08,"106,791","138,829","160,187",
2-Jan-08,"105,370","136,981","158,055",
2-Jan-08,"107,177","139,330","160,766",
2-Jan-08,"111,161","144,510","166,742",
2-Jan-08,"111,326","144,723","166,988",
2-Jan-08,"106,612","138,596","159,918",
2-Jan-08,"111,839","145,391","167,759",
2-Jan-08,"113,038","146,950","169,557",
3-Jan-08,"105,678","137,381","158,517",
3-Jan-08,"109,261","142,039","163,891",
3-Jan-08,"105,171","136,723","157,757",
3-Jan-08,"112,119","145,755","168,179",
3-Jan-08,"109,054","141,770","163,580",
3-Jan-08,"111,124","144,461","166,685",
3-Jan-08,"112,360","146,068","168,540",
3-Jan-08,"109,863","142,822","164,795",
3-Jan-08,"108,656","141,253","162,984",
4-Jan-08,"110,806","144,048","166,209",
4-Jan-08,"113,295","147,284","169,943",
4-Jan-08,"105,106","136,637","157,659",
4-Jan-08,"107,975","140,368","161,963",
4-Jan-08,"108,996","141,695","163,494",
4-Jan-08,"111,649","145,144","167,474",
4-Jan-08,"112,413","146,137","168,619",
4-Jan-08,"113,566","147,636","170,350",
4-Jan-08,"113,043","146,956","169,565",
4-Jan-08,"111,081","144,406","166,622",
4-Jan-08,"113,341","147,343","170,011",
5-Jan-08,"113,413","147,437","170,119",
5-Jan-08,"109,898","142,867","164,847",
5-Jan-08,"110,157","143,204","165,236",
5-Jan-08,"108,668","141,268","163,002",
5-Jan-08,"107,619","139,904","161,428",
5-Jan-08,"108,550","141,115","162,825",
5-Jan-08,"111,784","145,319","167,676",
5-Jan-08,"110,769","144,000","166,154",
5-Jan-08,"113,018","146,923","169,527",
5-Jan-08,"112,255","145,932","168,383",
5-Jan-08,"106,537","138,498","159,805",
5-Jan-08,"109,378","142,192","164,067",
5-Jan-08,"109,107","141,840","163,661",
6-Jan-08,"106,649","138,644","159,974",
6-Jan-08,"107,315","139,510","160,973",
6-Jan-08,"111,589","145,066","167,383",
6-Jan-08,"106,857","138,914","160,286",
6-Jan-08,"111,168","144,518","166,752",
6-Jan-08,"109,028","141,737","163,542",
6-Jan-08,"109,131","141,870","163,696",
6-Jan-08,"109,348","142,152","164,022",
6-Jan-08,"113,433","147,463","170,150",
6-Jan-08,"106,429","138,358","159,644",
6-Jan-08,"109,367","142,177","164,051",
7-Jan-08,"106,430","138,359","159,645",
7-Jan-08,"110,966","144,256","166,449",
